Year,Value
2000,0.0
2000,0.19
2000,0.0
2000,0.0
2000,0.0
2000,0.19
2000,0.0
2000,0.0
2001,0.0
2001,10.87
2001,12.96
2001,0.0
2001,0.0
2001,0.0
2001,0.0
2001,2.09
2002,0.0
2002,2.32
2002,0.0
2002,2.32
2002,0.0
2002,0.0
2002,0.0
2002,0.0
2003,0.0
2003,0.0
2003,36.25
2003,0.0
2003,38.03
2003,0.0
2003,0.0
2003,1.79
2004,0.0
2004,0.0
2004,14.9
2004,14.83
2004,0.0
2004,0.0
2004,0.0
2004,0.07
2005,0.0
2005,0.0
2005,7.44
2005,0.01
2005,7.43
2005,0.0
2005,0.0
2005,0.0
2006,0.0
2006,0.0
2006,37.28
2006,26.92
2006,0.0
2006,10.3
2006,0.0
2006,0.07
2007,0.0
2007,0.0
2007,0.8
2007,0.8
2007,0.0
2007,0.0
2007,0.0
2007,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2008,0.0
2009,42.51
2009,0.0
2009,0.0
2009,0.0
2009,0.3
2009,0.01
2009,0.0
2009,42.2
2010,0.65
2010,0.0
2010,1.24
2010,0.59
2010,0.0
2010,0.0
2010,0.0
2010,0.0
2011,0.0
2011,0.0
2011,0.0
2011,1.57
2011,0.0
2011,0.0
2011,1.56
2011,0.01
2012,0.0
2012,0.0
2012,0.0
2012,0.0
2012,7.23
2012,2.33
2012,9.56
2012,0.0
2013,0.0
2013,147.03
2013,0.11
2013,0.0
2013,167.84
2013,1.52
2013,0.0
2013,19.18
2014,0.0
2014,0.0
2014,0.0
2014,0.09
2014,0.14
2014,0.0
2014,0.0
2014,0.04
2015,0.01
2015,36.78
2015,43.13
2015,0.0
2015,0.0
2015,0.0
2015,0.0
2015,6.35
2016,610.12
2016,0.0
2016,0.0
2016,18.82
2016,0.0
2016,0.0
2016,700.67
2016,71.73
2017,6.79
2017,0.0
2017,55.66
2017,0.0
2017,0.0
2017,0.0
2017,48.78
2017,0.09
2018,0.0
2018,0.0
2018,74.93
2018,0.0
2018,1.24
2018,2.74
2018,31.13
2018,110.04
2019,0.0
2019,0.0
2019,0.0
2019,0.0
2019,0.0
2019,15.64
2019,73.74
2019,58.1
2020,0.0
2020,0.0
2020,0.0
2020,117.54
2020,2.72
2020,114.8
2020,0.02
2020,0.0
2021,0.0
2021,0.0
2021,0.65
2021,41.5
2021,49.79
2021,0.1
2021,0.0
2021,7.53
2022,0.0
2022,0.0
2022,0.22
2022,89.66
2022,89.43
2022,0.0
2022,0.0
2022,0.0
2023,0.0
2023,0.01
2023,57.1
2023,0.03
2023,103.41
2023,0.0
2023,46.27
2023,0.0
2024,0.0
2024,0.0
2024,11.05
2024,77.93
2024,0.0
2024,0.0
2024,0.0
2024,66.88
