Year,Value
2019,1270.78
2019,1390.9
2019,845.54
2019,478.84
2019,526.29
2019,1434.09
2019,311.63
2019,680.23
2019,304.49
2019,248.65
2019,377.97
2019,405.13
2022,475.86
2022,465.81
2022,332.22
2022,336.98
2022,723.0
2022,524.97
2022,2635.12
2022,2210.56
2022,571.47
2022,998.51
2022,662.11
2022,1165.48
2023,392.43
2023,678.48
2023,336.05
2023,476.52
2023,443.27
2023,417.24
2023,920.06
2023,1553.28
2023,1328.13
2023,543.01
2023,696.46
2023,1793.03
2024,2333.89
2024,838.2
2024,923.47
2024,1684.94
2024,2177.85
2024,1344.52
2024,626.67
2024,688.87
2024,501.62
2024,675.55
2024,1478.69
2024,445.36
