Year,Series,Value
2006,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",285.457
2007,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",132.926
2008,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",386.972
2009,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",437.089
2010,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",1090.09
2011,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",258.517
2012,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",401.0
2013,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",380.623
2014,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",431.041
2015,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",701.01
2016,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",278.742
2017,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",1109.35
2018,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",453.885
2019,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",790.035
2020,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",467.358
2021,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",1308.41
2022,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",562.114
2023,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",444.849
2024,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",459.531
2006,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",213.256
2007,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",202.161
2008,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",306.271
2009,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",229.229
2010,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",269.821
2011,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",330.212
2012,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",281.433
2013,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",359.159
2014,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",544.639
2015,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",512.24
2016,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",332.567
2017,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",438.353
2018,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",367.911
2019,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",884.91
2020,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",605.952
2021,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",594.16
2022,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",573.83
2023,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",564.381
2024,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2024 United States dollars)",548.28
