Year,Series,Value
2000,Carbon dioxide emissions from fuel combustion (millions of tonnes),3.52
2000,Carbon dioxide emissions from fuel combustion (millions of tonnes),0.5
2001,Carbon dioxide emissions from fuel combustion (millions of tonnes),3.84
2001,Carbon dioxide emissions from fuel combustion (millions of tonnes),0.65
2002,Carbon dioxide emissions from fuel combustion (millions of tonnes),3.92
2002,Carbon dioxide emissions from fuel combustion (millions of tonnes),0.72
2003,Carbon dioxide emissions from fuel combustion (millions of tonnes),0.59
2003,Carbon dioxide emissions from fuel combustion (millions of tonnes),3.81
2004,Carbon dioxide emissions from fuel combustion (millions of tonnes),0.92
2004,Carbon dioxide emissions from fuel combustion (millions of tonnes),4.44
2005,Carbon dioxide emissions from fuel combustion (millions of tonnes),0.78
2005,Carbon dioxide emissions from fuel combustion (millions of tonnes),4.63
2006,Carbon dioxide emissions from fuel combustion (millions of tonnes),0.59
2006,Carbon dioxide emissions from fuel combustion (millions of tonnes),4.44
2007,Carbon dioxide emissions from fuel combustion (millions of tonnes),0.85
2007,Carbon dioxide emissions from fuel combustion (millions of tonnes),4.98
2008,Carbon dioxide emissions from fuel combustion (millions of tonnes),5.25
2008,Carbon dioxide emissions from fuel combustion (millions of tonnes),0.87
2009,Carbon dioxide emissions from fuel combustion (millions of tonnes),5.39
2009,Carbon dioxide emissions from fuel combustion (millions of tonnes),0.93
2010,Carbon dioxide emissions from fuel combustion (millions of tonnes),0.91
2010,Carbon dioxide emissions from fuel combustion (millions of tonnes),5.46
2011,Carbon dioxide emissions from fuel combustion (millions of tonnes),5.78
2011,Carbon dioxide emissions from fuel combustion (millions of tonnes),1.23
2012,Carbon dioxide emissions from fuel combustion (millions of tonnes),5.66
2012,Carbon dioxide emissions from fuel combustion (millions of tonnes),1.1
2013,Carbon dioxide emissions from fuel combustion (millions of tonnes),5.99
2013,Carbon dioxide emissions from fuel combustion (millions of tonnes),1.1
2014,Carbon dioxide emissions from fuel combustion (millions of tonnes),1.44
2014,Carbon dioxide emissions from fuel combustion (millions of tonnes),6.67
2015,Carbon dioxide emissions from fuel combustion (millions of tonnes),7.5
2015,Carbon dioxide emissions from fuel combustion (millions of tonnes),1.64
2016,Carbon dioxide emissions from fuel combustion (millions of tonnes),1.73
2016,Carbon dioxide emissions from fuel combustion (millions of tonnes),8.14
2017,Carbon dioxide emissions from fuel combustion (millions of tonnes),0.97
2017,Carbon dioxide emissions from fuel combustion (millions of tonnes),8.01
2018,Carbon dioxide emissions from fuel combustion (millions of tonnes),8.49
2018,Carbon dioxide emissions from fuel combustion (millions of tonnes),1.14
2019,Carbon dioxide emissions from fuel combustion (millions of tonnes),8.3
2019,Carbon dioxide emissions from fuel combustion (millions of tonnes),0.94
2020,Carbon dioxide emissions from fuel combustion (millions of tonnes),7.97
2020,Carbon dioxide emissions from fuel combustion (millions of tonnes),1.31
2021,Carbon dioxide emissions from fuel combustion (millions of tonnes),1.48
2021,Carbon dioxide emissions from fuel combustion (millions of tonnes),10.14
2022,Carbon dioxide emissions from fuel combustion (millions of tonnes),11.32
2022,Carbon dioxide emissions from fuel combustion (millions of tonnes),1.65
2023,Carbon dioxide emissions from fuel combustion (millions of tonnes),10.49
2023,Carbon dioxide emissions from fuel combustion (millions of tonnes),0.6
2000,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1139
2001,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1192
2002,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1216
2003,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1119
2004,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1246
2005,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1246
2006,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1168
2007,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1273
2008,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1295
2009,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1293
2010,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1267
2011,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1324
2012,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1246
2013,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1288
2014,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.135
2015,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1427
2016,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1457
2017,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1335
2018,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1332
2019,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1245
2020,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1179
2021,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1408
2022,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1512
2023,Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2021 United States dollars),0.1343
2000,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.242
2001,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.292
2002,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.314
2003,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.258
2004,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.391
2005,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.328
2006,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.248
2007,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.35
2008,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.366
2009,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.378
2010,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.364
2011,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.45
2012,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.403
2013,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.392
2014,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.512
2015,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.549
2016,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.547
2017,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.292
2018,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.33
2019,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.271
2020,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.389
2021,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.427
2022,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.471
2023,Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2020 United States dollars),0.163
