Year,Series,Value
2003,Proportion of population covered by at least a 2G mobile network (%),85.0
2004,Proportion of population covered by at least a 2G mobile network (%),85.0
2005,Proportion of population covered by at least a 2G mobile network (%),85.0
2006,Proportion of population covered by at least a 2G mobile network (%),83.0
2007,Proportion of population covered by at least a 2G mobile network (%),85.0
2008,Proportion of population covered by at least a 2G mobile network (%),86.0
2009,Proportion of population covered by at least a 2G mobile network (%),87.0
2010,Proportion of population covered by at least a 2G mobile network (%),90.0
2011,Proportion of population covered by at least a 2G mobile network (%),90.0
2012,Proportion of population covered by at least a 2G mobile network (%),91.1
2013,Proportion of population covered by at least a 2G mobile network (%),91.6
2014,Proportion of population covered by at least a 2G mobile network (%),91.6
2015,Proportion of population covered by at least a 2G mobile network (%),92.0
2016,Proportion of population covered by at least a 2G mobile network (%),97.4
2017,Proportion of population covered by at least a 2G mobile network (%),97.7
2018,Proportion of population covered by at least a 2G mobile network (%),97.9
2019,Proportion of population covered by at least a 2G mobile network (%),98.0
2020,Proportion of population covered by at least a 2G mobile network (%),99.0
2021,Proportion of population covered by at least a 2G mobile network (%),99.4
2022,Proportion of population covered by at least a 2G mobile network (%),99.4
2023,Proportion of population covered by at least a 2G mobile network (%),99.5
2014,Proportion of population covered by at least a 3G mobile network (%),25.0
2015,Proportion of population covered by at least a 3G mobile network (%),40.0
2016,Proportion of population covered by at least a 3G mobile network (%),50.0
2017,Proportion of population covered by at least a 3G mobile network (%),66.29
2018,Proportion of population covered by at least a 3G mobile network (%),92.2
2019,Proportion of population covered by at least a 3G mobile network (%),92.1
2020,Proportion of population covered by at least a 3G mobile network (%),99.0
2021,Proportion of population covered by at least a 3G mobile network (%),99.4
2022,Proportion of population covered by at least a 3G mobile network (%),99.4
2023,Proportion of population covered by at least a 3G mobile network (%),99.5
2024,Proportion of population covered by at least a 3G mobile network (%),99.5
2015,Proportion of population covered by at least a 4G mobile network (%),0.0
2016,Proportion of population covered by at least a 4G mobile network (%),8.6
2017,Proportion of population covered by at least a 4G mobile network (%),36.5
2018,Proportion of population covered by at least a 4G mobile network (%),62.0
2019,Proportion of population covered by at least a 4G mobile network (%),66.8
2020,Proportion of population covered by at least a 4G mobile network (%),74.7
2021,Proportion of population covered by at least a 4G mobile network (%),83.05
2022,Proportion of population covered by at least a 4G mobile network (%),95.4
2023,Proportion of population covered by at least a 4G mobile network (%),97.5
2024,Proportion of population covered by at least a 4G mobile network (%),97.5
2021,Proportion of population covered by at least a 5G mobile network (%),0.0
