Year,Value,Type
2000,0.541,Historique
2001,0.543,Historique
2002,0.546,Historique
2003,0.549,Historique
2004,0.551,Historique
2005,0.554,Historique
2006,0.551,Historique
2007,0.548,Historique
2008,0.546,Historique
2009,0.543,Historique
2010,0.54,Historique
2011,0.326,Historique
2012,0.311,Historique
2013,0.297,Historique
2014,0.282,Historique
2015,0.136,Historique
2016,0.5,Historique
2017,0.5,Historique
2018,0.139,Historique
2019,0.139,Historique
2020,0.144,Historique
2021,0.13,Historique
2022,0.13,Historique
2023,0.1,Historique
2024,0.1,Historique
2025,0.085,Projection
2026,0.07,Projection
2027,0.055,Projection
2028,0.04,Projection
2029,0.025,Projection
2030,0.01,Projection
