Year,Value,Series
2000,0.119,Historique
2001,0.157,Historique
2002,0.206,Historique
2003,0.26,Historique
2004,0.325,Historique
2005,0.35,Historique
2006,0.442,Historique
2007,0.482,Historique
2008,0.518,Historique
2009,0.555,Historique
2010,0.577,Historique
2011,0.61,Historique
2012,0.637,Historique
2013,0.657,Historique
2014,0.633,Historique
2015,0.637,Historique
2016,0.66,Historique
2017,0.669,Historique
2018,0.706,Historique
2019,0.739,Historique
2020,0.76,Historique
2021,0.759,Historique
2022,0.799,Historique
2023,0.789,Historique
2024,0.791,Historique
2025,0.787,Projection
2026,0.783,Projection
2027,0.779,Projection
2028,0.775,Projection
2029,0.771,Projection
2030,0.767,Projection
