Year,Type,Value
2000,Historique,0.0
2001,Historique,0.033
2002,Historique,0.033
2003,Historique,0.033
2004,Historique,0.26
2005,Historique,0.26
2006,Historique,0.26
2007,Historique,0.26
2008,Historique,0.26
2009,Historique,0.26
2010,Historique,0.259
2011,Historique,0.259
2012,Historique,0.26
2013,Historique,0.26
2014,Historique,0.347
2015,Historique,0.346
2016,Historique,0.346
2017,Historique,0.863
2018,Historique,0.773
2019,Historique,0.819
2020,Historique,0.845
2021,Historique,0.803
2022,Historique,1.0
2023,Historique,1.0
2024,Historique,1.0
2025,Projection,1.0
2026,Projection,1.0
2027,Projection,1.0
2028,Projection,1.0
2029,Projection,1.0
2030,Projection,1.0
