Year,Type,Value
2000,Historique,0.633
2001,Historique,0.765
2002,Historique,0.776
2003,Historique,0.811
2004,Historique,0.725
2005,Historique,0.741
2006,Historique,0.724
2007,Historique,0.763
2008,Historique,0.662
2009,Historique,0.624
2010,Historique,0.617
2011,Historique,0.581
2012,Historique,0.62
2013,Historique,0.575
2014,Historique,0.564
2015,Historique,0.547
2016,Historique,0.486
2017,Historique,0.408
2018,Historique,0.432
2019,Historique,0.35
2020,Historique,0.309
2021,Historique,0.306
2022,Historique,0.267
2023,Historique,0.264
2024,Historique,0.264
2025,Projection,0.2625
2026,Projection,0.261
2027,Projection,0.2595
2028,Projection,0.258
2029,Projection,0.2565
2030,Projection,0.255
