Year,Type,Value
2000,Historique,0.11
2001,Historique,0.235
2002,Historique,0.233
2003,Historique,0.256
2004,Historique,0.267
2005,Historique,0.073
2006,Historique,0.081
2007,Historique,0.108
2008,Historique,0.034
2009,Historique,0.064
2010,Historique,0.118
2011,Historique,0.142
2012,Historique,0.09
2013,Historique,0.122
2014,Historique,0.311
2015,Historique,0.337
2016,Historique,0.194
2017,Historique,0.282
2018,Historique,0.35
2019,Historique,0.621
2020,Historique,0.441
2021,Historique,0.479
2022,Historique,0.491
2023,Historique,0.485
2024,Historique,0.606
2025,Projection,0.6635
2026,Projection,0.721
2027,Projection,0.7785
2028,Projection,0.836
2029,Projection,0.8935
2030,Projection,0.951
