Year,Type,Value
2000,Historique,0.119
2001,Historique,0.157
2002,Historique,0.206
2003,Historique,0.26
2004,Historique,0.325
2005,Historique,0.35
2006,Historique,0.442
2007,Historique,0.482
2008,Historique,0.518
2009,Historique,0.555
2010,Historique,0.577
2011,Historique,0.61
2012,Historique,0.637
2013,Historique,0.657
2014,Historique,0.633
2015,Historique,0.637
2016,Historique,0.66
2017,Historique,0.669
2018,Historique,0.706
2019,Historique,0.739
2020,Historique,0.76
2021,Historique,0.759
2022,Historique,0.799
2023,Historique,0.789
2024,Historique,0.791
2025,Projection,0.787
2026,Projection,0.783
2027,Projection,0.779
2028,Projection,0.775
2029,Projection,0.771
2030,Projection,0.767
