Year,Series,Value
2011,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted (%),9.89
2015,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted (%),5.58
2017,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted (%),5.09
2018,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted (%),5.18
2019,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted (%),5.38
2020,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted (%),4.51
2021,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted (%),4.49
2022,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted (%),3.97
2023,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted (%),3.97
2024,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted (%),5.75
2016,Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),4.8
2017,Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),4.06
2018,Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),3.47
2019,Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),3.57
2020,Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),3.26
2021,Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),3.45
2022,Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),3.7
2023,Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),1.38
2024,Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),17.5
2016,SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),4.8029
2017,SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),4.2584
2018,SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),3.291
2019,SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),3.5699
2020,SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),3.4265
2021,SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),3.445
2022,SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),3.545
2023,SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),1.38
2024,SmaRT average remittance costs of sending $200 in a corridor as a proportion of the amount remitted (%),2.36
2011,Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%),6.21
2015,Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%),4.8
2017,Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%),4.06
2018,Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%),3.47
2019,Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%),3.57
2020,Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%),3.26
2021,Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%),3.45
2022,Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%),3.7
2023,Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%),1.38
2024,Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%),17.5
