Year,Series,Value
2019,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO),1.0
2022,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO),0.0
2023,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO),0.0
2024,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO),0.0
2019,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO),1.0
2020,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO),1.0
2021,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO),1.0
2022,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO),0.0
2023,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO),0.0
2024,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO),0.0
2022,Countries with national statistical plans with funding from others (1 = YES; 0 = NO),0.0
2023,Countries with national statistical plans with funding from others (1 = YES; 0 = NO),0.0
2024,Countries with national statistical plans with funding from others (1 = YES; 0 = NO),0.0
2019,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0.0
2020,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0.0
2021,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0.0
2022,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),1.0
2023,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),1.0
2024,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO),0.0
2019,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO),1.0
2020,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO),1.0
2021,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO),1.0
2022,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO),1.0
2023,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO),1.0
2024,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO),1.0
