Year,Series,Value
2000,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),52.0
2001,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),52.0
2002,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),60.0
2003,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),73.0
2004,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),87.0
2005,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),84.0
2006,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),89.0
2007,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),94.0
2008,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),88.0
2009,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),86.0
2010,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),89.0
2011,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),92.0
2012,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),91.0
2013,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),92.0
2014,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),89.0
2015,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),89.0
2016,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),93.0
2017,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),93.0
2018,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),92.0
2019,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),91.0
2020,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),83.0
2021,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),85.0
2022,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),93.0
2023,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),92.0
2024,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),91.0
2019,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),26.0
2020,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),33.0
2021,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),34.0
2022,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),26.0
2023,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),39.0
2024,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),51.0
2014,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),13.0
2015,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),54.0
2016,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),57.0
2017,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),59.0
2018,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),62.0
2019,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),63.0
2020,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),63.0
2021,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),64.0
2022,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),69.0
2023,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),74.0
2024,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),79.0
2014,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%),81.0
2015,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%),89.0
2016,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%),93.0
2017,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%),92.0
2018,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%),92.0
2019,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%),91.0
2020,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%),82.0
2021,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%),83.0
2022,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%),92.0
2023,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%),92.0
2024,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%),91.0
