Year,Series,Value
2000,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),18.43
2001,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),19.01
2002,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),19.59
2003,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),18.48
2004,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),18.19
2005,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),17.62
2006,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),17.22
2007,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),17.13
2008,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),16.13
2009,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),16.26
2010,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),16.0
2011,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),17.24
2012,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),16.56
2013,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),16.64
2014,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),15.7
2015,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),15.66
2016,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),15.59
2017,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),15.26
2018,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),14.95
2019,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),13.76
2020,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),12.61
2021,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),11.69
2022,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),11.3
2023,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),11.37
2024,Manufacturing value added (constant 2020 United States dollars) as a proportion of GDP (%),10.67
2000,Manufacturing value added per capita (constant 2020 United States dollars),207.28
2001,Manufacturing value added per capita (constant 2020 United States dollars),217.68
2002,Manufacturing value added per capita (constant 2020 United States dollars),219.04
2003,Manufacturing value added per capita (constant 2020 United States dollars),212.98
2004,Manufacturing value added per capita (constant 2020 United States dollars),214.31
2005,Manufacturing value added per capita (constant 2020 United States dollars),211.53
2006,Manufacturing value added per capita (constant 2020 United States dollars),206.65
2007,Manufacturing value added per capita (constant 2020 United States dollars),206.53
2008,Manufacturing value added per capita (constant 2020 United States dollars),197.02
2009,Manufacturing value added per capita (constant 2020 United States dollars),199.29
2010,Manufacturing value added per capita (constant 2020 United States dollars),198.0
2011,Manufacturing value added per capita (constant 2020 United States dollars),210.79
2012,Manufacturing value added per capita (constant 2020 United States dollars),205.1
2013,Manufacturing value added per capita (constant 2020 United States dollars),204.79
2014,Manufacturing value added per capita (constant 2020 United States dollars),198.84
2015,Manufacturing value added per capita (constant 2020 United States dollars),204.61
2016,Manufacturing value added per capita (constant 2020 United States dollars),210.33
2017,Manufacturing value added per capita (constant 2020 United States dollars),214.83
2018,Manufacturing value added per capita (constant 2020 United States dollars),217.37
2019,Manufacturing value added per capita (constant 2020 United States dollars),212.39
2020,Manufacturing value added per capita (constant 2020 United States dollars),200.37
2021,Manufacturing value added per capita (constant 2020 United States dollars),201.37
2022,Manufacturing value added per capita (constant 2020 United States dollars),198.54
2023,Manufacturing value added per capita (constant 2020 United States dollars),203.38
2024,Manufacturing value added per capita (constant 2020 United States dollars),198.58
2000,Manufacturing value added (current United States dollars) as a proportion of GDP (%),20.84
2001,Manufacturing value added (current United States dollars) as a proportion of GDP (%),20.98
2002,Manufacturing value added (current United States dollars) as a proportion of GDP (%),21.59
2003,Manufacturing value added (current United States dollars) as a proportion of GDP (%),20.58
2004,Manufacturing value added (current United States dollars) as a proportion of GDP (%),20.96
2005,Manufacturing value added (current United States dollars) as a proportion of GDP (%),19.91
2006,Manufacturing value added (current United States dollars) as a proportion of GDP (%),19.25
2007,Manufacturing value added (current United States dollars) as a proportion of GDP (%),18.62
2008,Manufacturing value added (current United States dollars) as a proportion of GDP (%),17.54
2009,Manufacturing value added (current United States dollars) as a proportion of GDP (%),15.77
2010,Manufacturing value added (current United States dollars) as a proportion of GDP (%),15.57
2011,Manufacturing value added (current United States dollars) as a proportion of GDP (%),17.25
2012,Manufacturing value added (current United States dollars) as a proportion of GDP (%),17.0
2013,Manufacturing value added (current United States dollars) as a proportion of GDP (%),17.38
2014,Manufacturing value added (current United States dollars) as a proportion of GDP (%),17.0
2015,Manufacturing value added (current United States dollars) as a proportion of GDP (%),17.04
2016,Manufacturing value added (current United States dollars) as a proportion of GDP (%),16.41
2017,Manufacturing value added (current United States dollars) as a proportion of GDP (%),15.81
2018,Manufacturing value added (current United States dollars) as a proportion of GDP (%),15.53
2019,Manufacturing value added (current United States dollars) as a proportion of GDP (%),13.82
2020,Manufacturing value added (current United States dollars) as a proportion of GDP (%),12.61
2021,Manufacturing value added (current United States dollars) as a proportion of GDP (%),12.02
2022,Manufacturing value added (current United States dollars) as a proportion of GDP (%),12.11
2023,Manufacturing value added (current United States dollars) as a proportion of GDP (%),11.32
2024,Manufacturing value added (current United States dollars) as a proportion of GDP (%),11.0
