Year,Series,Value
2000,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)",2.0
2005,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)",2.0
2010,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)",2.0
2015,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)",1.0
2016,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)",1.0
2017,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)",1.0
2018,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)",1.0
2019,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)",1.0
2020,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)",1.0
2021,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)",1.0
2022,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)",1.0
2023,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)",1.0
2024,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)",1.0
2000,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%),100.0
2005,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%),100.0
2010,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%),100.0
2015,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%),0.0
2016,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%),0.0
2017,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%),0.0
2018,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%),0.0
2019,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%),0.0
2020,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%),0.0
2021,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%),0.0
2022,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%),0.0
2023,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%),0.0
2024,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%),0.0
