Year,Series,Value
2016,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),0.0
2017,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),0.0
2018,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),0.0
2019,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),0.0
2020,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),0.0
2021,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),0.0
2022,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),0.0
2023,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),0.0
2024,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),0.0
2023,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),1.0
2016,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),0.0
2017,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),0.0
2018,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),0.0
2019,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),0.0
2020,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),0.0
2021,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),0.0
2022,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),0.0
2023,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),0.0
2024,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),0.0
