Year,Value
2011,0.0
2011,53.0
2011,65.0
2011,21.0
2011,33.0
2011,8.0
2011,32.0
2011,29.0
2011,25.0
2011,50.0
2011,5.0
2011,22.0
2011,42.0
2012,35.0
2012,30.0
2012,0.0
2012,0.0
2012,66.0
2012,39.0
2012,22.0
2012,0.0
2012,53.0
2012,70.0
2012,31.0
2012,7.0
2012,40.0
2017,69.0
2017,10.0
2017,56.0
2017,33.0
2017,69.0
2017,50.0
2017,50.0
2017,52.0
2017,35.0
2017,43.0
2017,60.0
2017,43.0
2017,6.0
2018,60.0
2018,40.0
2018,60.0
2018,40.0
2018,40.0
2018,53.0
2018,40.0
2018,70.0
2018,20.0
2018,20.0
2018,40.0
2018,60.0
2018,40.0
2019,53.0
2019,40.0
2019,40.0
2019,40.0
2019,60.0
2019,60.0
2019,80.0
2019,53.0
2019,80.0
2019,60.0
2019,50.0
2019,60.0
2019,20.0
2020,73.0
2020,80.0
2020,60.0
2020,80.0
2020,67.0
2020,70.0
2020,60.0
2020,20.0
2020,80.0
2020,53.0
2020,40.0
2020,80.0
2020,40.0
2021,60.0
2021,47.0
2021,40.0
2021,73.0
2021,53.0
2021,40.0
2021,60.0
2021,80.0
2021,60.0
2021,40.0
2021,60.0
2021,73.0
2021,60.0
2021,70.0
2021,80.0
2022,50.0
2022,50.0
2022,33.0
2022,33.0
2022,47.0
2022,60.0
2022,80.0
2022,67.0
2022,40.0
2022,56.0
2022,70.0
2022,40.0
2022,53.0
2022,47.0
2022,60.0
2023,73.0
2023,20.0
2023,40.0
2023,56.0
2023,60.0
2023,40.0
2023,60.0
2023,40.0
2023,60.0
2023,40.0
2023,67.0
2023,53.0
2023,27.0
2023,67.0
2023,47.0
2024,73.0
2024,40.0
2024,52.0
2024,60.0
2024,40.0
2024,80.0
2024,53.0
2024,53.0
2024,60.0
2024,60.0
2024,30.0
2024,40.0
2024,80.0
2024,47.0
2024,40.0
2024,40.0
