Year,Series,Value
2015,Proportion of women in managerial positions - 13th ICLS (%),23.16
2016,Proportion of women in managerial positions - 13th ICLS (%),24.86
2019,Proportion of women in managerial positions - 13th ICLS (%),15.22
2022,Proportion of women in managerial positions - 13th ICLS (%),33.35
2023,Proportion of women in managerial positions - 13th ICLS (%),37.07
2024,Proportion of women in managerial positions - 13th ICLS (%),23.48
2015,Proportion of women in senior and middle management positions - 13th ICLS (%),26.16
2016,Proportion of women in senior and middle management positions - 13th ICLS (%),26.2
2019,Proportion of women in senior and middle management positions - 13th ICLS (%),21.03
2022,Proportion of women in senior and middle management positions - 13th ICLS (%),39.93
2023,Proportion of women in senior and middle management positions - 13th ICLS (%),24.35
2024,Proportion of women in senior and middle management positions - 13th ICLS (%),23.02
