Year,Value,Series
2014,1.7693,"Electronic waste recycled, per capita (Kg)"
2015,3.0188,"Electronic waste recycled, per capita (Kg)"
2016,1.4068,"Electronic waste recycled, per capita (Kg)"
2017,0.6766,"Electronic waste recycled, per capita (Kg)"
2014,1.3903,Proportion of electronic waste recycled (%)
2015,2.0424,Proportion of electronic waste recycled (%)
2016,0.6858,Proportion of electronic waste recycled (%)
2017,0.2374,Proportion of electronic waste recycled (%)
2014,25040.0009,Electronic waste recycled (Tonnes)
2015,44055.0003,Electronic waste recycled (Tonnes)
2016,21150.9991,Electronic waste recycled (Tonnes)
2017,10470.0003,Electronic waste recycled (Tonnes)
2015,488583.7097,Municipal waste recycled (Tonnes)
