Year,Value,Series
2000,2.0,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)"
2005,2.0,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)"
2010,2.0,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)"
2015,1.0,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)"
2016,1.0,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)"
2017,1.0,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)"
2018,1.0,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)"
2019,1.0,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)"
2020,1.0,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)"
2021,1.0,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)"
2022,1.0,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)"
2023,1.0,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)"
2024,1.0,"Countries with National Human Rights Institutions in compliance with the Paris Principles (0 = No status; 1 = Status B, partially compliant; 2 = Status A, fully compliant)"
2000,100.0,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)
2005,100.0,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)
2010,100.0,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)
2015,0.0,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)
2016,0.0,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)
2017,0.0,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)
2018,0.0,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)
2019,0.0,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)
2020,0.0,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)
2021,0.0,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)
2022,0.0,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)
2023,0.0,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)
2024,0.0,Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%)
