Year,Value,Series
2019,1.0,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO)
2022,0.0,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO)
2023,0.0,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO)
2024,0.0,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO)
2019,1.0,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)
2020,1.0,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)
2021,1.0,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)
2022,0.0,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)
2023,0.0,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)
2024,0.0,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO)
2022,0.0,Countries with national statistical plans with funding from others (1 = YES; 0 = NO)
2023,0.0,Countries with national statistical plans with funding from others (1 = YES; 0 = NO)
2024,0.0,Countries with national statistical plans with funding from others (1 = YES; 0 = NO)
2019,0.0,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO)
2020,0.0,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO)
2021,0.0,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO)
2022,1.0,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO)
2023,1.0,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO)
2024,0.0,Countries with national statistical plans that are fully funded (1 = YES; 0 = NO)
2019,1.0,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO)
2020,1.0,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO)
2021,1.0,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO)
2022,1.0,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO)
2023,1.0,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO)
2024,1.0,Countries with national statistical plans that are under implementation (1 = YES; 0 = NO)
