Year,Value,Series
2020,86.665,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC"
2020,79.9974,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC"
2020,81.3364,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC"
2021,77.5161,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC"
2021,85.5469,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC"
2021,79.2052,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC"
2022,74.9788,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC"
2022,80.5132,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC"
2022,73.4485,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - LOWSEC"
2006,18.2465,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2008,10.6287,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2008,20.2097,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2008,12.8155,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2009,19.8741,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2009,12.3224,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2009,14.0076,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2010,13.3248,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2010,21.5278,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2010,15.094,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2012,21.4619,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2012,29.4625,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2012,23.4218,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2013,25.7148,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2013,33.5511,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2013,23.2508,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2014,25.7462,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2014,23.5922,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2014,32.3591,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2015,26.0958,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2015,33.1697,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2015,23.9546,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2019,34.325,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2019,49.5492,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2019,37.7978,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2020,46.7585,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
2020,37.3582,"Proportion of teachers with the minimum required qualifications, by education level and sex (%) - PREPRI"
