Year,Type,Value
2000,Historique,0.469
2001,Historique,0.475
2002,Historique,0.482
2003,Historique,0.484
2004,Historique,0.484
2005,Historique,0.488
2006,Historique,0.549
2007,Historique,0.544
2008,Historique,0.361
2009,Historique,0.396
2010,Historique,0.655
2011,Historique,0.653
2012,Historique,0.539
2013,Historique,0.525
2014,Historique,0.631
2015,Historique,0.58
2016,Historique,0.64
2017,Historique,0.609
2018,Historique,0.65
2019,Historique,0.691
2020,Historique,0.701
2021,Historique,0.709
2022,Historique,0.718
2023,Historique,0.724
2024,Historique,0.638
2025,Projection,0.598
2026,Projection,0.558
2027,Projection,0.518
2028,Projection,0.478
2029,Projection,0.438
2030,Projection,0.398
