Year,Series,Value
2010,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",0.19
2011,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",0.56
2012,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",-0.22
2013,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",-0.55
2014,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",-0.83
2015,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",0.18
2016,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",0.45
2017,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",-0.9
2018,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",-0.2
2019,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",-0.26
2020,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",0.11
2021,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",-0.04
2022,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",1.66
2023,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",-0.14
2024,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index",-0.58
2015,"Indicator of Food Price Anomalies (IFPA), by type of product",-0.2
2015,"Indicator of Food Price Anomalies (IFPA), by type of product",-0.5
2015,"Indicator of Food Price Anomalies (IFPA), by type of product",1.32
2016,"Indicator of Food Price Anomalies (IFPA), by type of product",-1.1
2016,"Indicator of Food Price Anomalies (IFPA), by type of product",-0.2
2016,"Indicator of Food Price Anomalies (IFPA), by type of product",-0.3
2017,"Indicator of Food Price Anomalies (IFPA), by type of product",0.6
2017,"Indicator of Food Price Anomalies (IFPA), by type of product",0.1
2017,"Indicator of Food Price Anomalies (IFPA), by type of product",0.63
2018,"Indicator of Food Price Anomalies (IFPA), by type of product",1.4
2018,"Indicator of Food Price Anomalies (IFPA), by type of product",0.3
2018,"Indicator of Food Price Anomalies (IFPA), by type of product",-0.4
2019,"Indicator of Food Price Anomalies (IFPA), by type of product",0.09
2019,"Indicator of Food Price Anomalies (IFPA), by type of product",-0.2
2019,"Indicator of Food Price Anomalies (IFPA), by type of product",-0.44
2020,"Indicator of Food Price Anomalies (IFPA), by type of product",-0.25
2020,"Indicator of Food Price Anomalies (IFPA), by type of product",0.02
2020,"Indicator of Food Price Anomalies (IFPA), by type of product",0.67
2021,"Indicator of Food Price Anomalies (IFPA), by type of product",-0.66
2021,"Indicator of Food Price Anomalies (IFPA), by type of product",0.0
2021,"Indicator of Food Price Anomalies (IFPA), by type of product",-0.19
2023,"Indicator of Food Price Anomalies (IFPA), by type of product",0.87
2024,"Indicator of Food Price Anomalies (IFPA), by type of product",-0.01
