Year,Series,Value
2015,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",6.76
2015,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",6.76
2015,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",6.45
2016,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",2.06
2016,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",4.49
2016,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",4.46
2017,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",4.08
2017,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",4.08
2019,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",2.87
2019,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",2.86
2022,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",5.06
2022,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",5.08
2023,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",4.71
2023,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",4.69
2024,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",5.78
2024,"Unemployment rate, by sex and disability - 13th ICLS (%) - BOTHSEX",5.8
2015,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE",5.24
2015,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE",7.33
2015,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE",7.3
2016,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE",4.75
2016,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE",4.77
2017,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE",3.64
2017,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE",3.65
2019,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE",3.05
2019,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE",3.06
2022,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE",7.58
2022,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE",7.55
2023,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE",5.9
2023,"Unemployment rate, by sex and disability - 13th ICLS (%) - FEMALE",5.93
