Year,Series,Value
2020,Average share of urban population with convenient access to open public spaces (%),44.368
2020,Average share of urban population with convenient access to open public spaces (%),66.9257
2020,Average share of urban population with convenient access to open public spaces (%),92.5337
2020,Average share of urban population with convenient access to open public spaces (%),55.6589
2020,Average share of urban population with convenient access to open public spaces (%),45.8486
2020,Average share of urban population with convenient access to open public spaces (%),61.0
2020,Average share of urban population with convenient access to open public spaces (%),32.0414
2020,Average share of urban population with convenient access to open public spaces (%),43.5832
2020,Average share of urban population with convenient access to open public spaces (%),44.0563
2020,Average share of the built-up area of cities that is open space for public use for all (%),22.0
2020,Average share of the built-up area of cities that is open space for public use for all (%),20.4
2020,Average share of the built-up area of cities that is open space for public use for all (%),16.1
2020,Average share of the built-up area of cities that is open space for public use for all (%),16.1
2020,Average share of the built-up area of cities that is open space for public use for all (%),13.3
2020,Average share of the built-up area of cities that is open space for public use for all (%),15.0
2020,Average share of the built-up area of cities that is open space for public use for all (%),12.5
2020,Average share of the built-up area of cities that is open space for public use for all (%),14.8
