Year,Type,Value
2000,Historique,0.446
2001,Historique,0.436
2002,Historique,0.386
2003,Historique,0.389
2004,Historique,0.401
2005,Historique,0.448
2006,Historique,0.361
2007,Historique,0.343
2008,Historique,0.428
2009,Historique,0.403
2010,Historique,0.376
2011,Historique,0.326
2012,Historique,0.344
2013,Historique,0.352
2014,Historique,0.348
2015,Historique,0.41
2016,Historique,0.389
2017,Historique,0.363
2018,Historique,0.382
2019,Historique,0.363
2020,Historique,0.362
2021,Historique,0.561
2022,Historique,0.464
2023,Historique,0.496
2024,Historique,0.46
2025,Projection,0.458
2026,Projection,0.456
2027,Projection,0.454
2028,Projection,0.452
2029,Projection,0.45
2030,Projection,0.448
