Year,Value,Series
2000,17.6185,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2001,15.7297,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2002,16.7219,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2003,16.1175,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2004,16.9623,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2005,21.771,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2006,17.9546,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2008,19.2261,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2009,23.3005,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2010,2.5106,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2011,21.087,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2012,20.7952,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2013,25.7423,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2014,24.8013,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2015,23.7783,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2016,21.3374,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2017,21.1017,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2018,22.6593,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2019,14.6931,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2020,19.2167,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2021,16.6769,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2022,16.4916,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2023,22.5472,"Proportion of total government spending on essential services, education [UIS methodology] (%)"
2000,13.7087,"Proportion of total government spending on essential services, education (%)"
2000,3.4623,"Proportion of total government spending on essential services, health (%)"
