Year,Value,Series
2016,0.0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO)
2017,0.0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO)
2018,0.0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO)
2019,0.0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO)
2020,0.0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO)
2021,0.0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO)
2022,0.0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO)
2023,0.0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO)
2024,0.0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO)
2023,1.0,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)
2016,0.0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO)
2017,0.0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO)
2018,0.0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO)
2019,0.0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO)
2020,0.0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO)
2021,0.0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO)
2022,0.0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO)
2023,0.0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO)
2024,0.0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO)
