Year,Value,Series
2010,0.19,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2011,0.56,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2012,-0.22,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2013,-0.55,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2014,-0.83,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2015,0.18,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2016,0.45,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2017,-0.9,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2018,-0.2,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2019,-0.26,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2020,0.11,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2021,-0.04,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2022,1.66,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2023,-0.14,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2024,-0.58,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2015,-0.2,"Indicator of Food Price Anomalies (IFPA), by type of product"
2015,-0.5,"Indicator of Food Price Anomalies (IFPA), by type of product"
2015,1.32,"Indicator of Food Price Anomalies (IFPA), by type of product"
2016,-1.1,"Indicator of Food Price Anomalies (IFPA), by type of product"
2016,-0.2,"Indicator of Food Price Anomalies (IFPA), by type of product"
2016,-0.3,"Indicator of Food Price Anomalies (IFPA), by type of product"
2017,0.6,"Indicator of Food Price Anomalies (IFPA), by type of product"
2017,0.1,"Indicator of Food Price Anomalies (IFPA), by type of product"
2017,0.63,"Indicator of Food Price Anomalies (IFPA), by type of product"
2018,1.4,"Indicator of Food Price Anomalies (IFPA), by type of product"
2018,0.3,"Indicator of Food Price Anomalies (IFPA), by type of product"
2018,-0.4,"Indicator of Food Price Anomalies (IFPA), by type of product"
2019,0.09,"Indicator of Food Price Anomalies (IFPA), by type of product"
2019,-0.2,"Indicator of Food Price Anomalies (IFPA), by type of product"
2019,-0.44,"Indicator of Food Price Anomalies (IFPA), by type of product"
2020,-0.25,"Indicator of Food Price Anomalies (IFPA), by type of product"
2020,0.02,"Indicator of Food Price Anomalies (IFPA), by type of product"
2020,0.67,"Indicator of Food Price Anomalies (IFPA), by type of product"
2021,-0.66,"Indicator of Food Price Anomalies (IFPA), by type of product"
2021,0.0,"Indicator of Food Price Anomalies (IFPA), by type of product"
2021,-0.19,"Indicator of Food Price Anomalies (IFPA), by type of product"
2023,0.87,"Indicator of Food Price Anomalies (IFPA), by type of product"
2024,-0.01,"Indicator of Food Price Anomalies (IFPA), by type of product"
